commit_hash,status,affected_libs_or_binary,affected_files,affected_functions
a5d44d5c220e12ca0cb7a4eceb0f74759cb13111,,libswscale,libswscale/utils.c,sws_init_context
21cd905cd44a4bbafe8631bbaa6021d328413ce5,,libswresample,libswresample/swresample.c,swr_init
7edb984dd051b6919d7d8471c70499273f31b0fa,,libavutil,libavutil/log.c,format_line
c94f9e854228e0ea00e1de8769d8d3f7cab84a55,,libavutil,libavutil/mem.c,av_reallocp_array
cc0dd86580b3257f22a4981a79eb5fa6804182b6,,libavutil,libavutil/log.c,format_line
96f24d1bee7fe7bac08e2b7c74db1a046c9dc0de,,libavformat,libavformat/rl2.c,rl2_read_header
95556e27e2c1d56d9e18f5db34d6f756f3011148,,libavformat,libavformat/movenc.c,handle_eac3
9cb4eb772839c5e1de2855d126bf74ff16d13382,,libavformat,libavformat/mov.c,read_tfra
9807d3976be0e92e4ece3b4b1701be894cd7c2e1,,libavformat,libavformat/pva.c,read_part_of_packet
6b67d7f05918f7a1ee8fc6ff21355d7e8736aa10,,libavformat,libavformat/flvenc.c,flv_write_packet
8312e3fc9041027a33c8bc667bb99740fdf41dd5,,libavformat,libavformat/ape.c,ape_read_header
3a2d21bc5f97aa0161db3ae731fc2732be6108b8,,libavformat,libavformat/movenc.c,ff_mov_write_packet
7d57ca4d9a75562fa32e40766211de150f8b3ee7,,libavformat,libavformat/rtmppkt.c,rtmp_packet_read_one_chunk
c42a1388a6d1bfd8001bf6a4241d8ca27e49326d,,libavformat,libavformat/rtpdec_h264.c,sdp_parse_fmtp_config_h264
10416a4d56fa8a89784e4fb62099c3cab17a9952,n,libavformat,libavformat/id3v2.c,ff_id3v2_parse
afc9c683ed9db01edb357bc8c19edad4282b3a97,,libavformat,libavformat/asfdec_f.c,asf_build_simple_index
a6cba062051f345e8ebfdff34aba071ed73d923f,,libavformat,libavformat/img2dec.c,svg_probe
c41ac870470c614185e1752c11f892809022248a,,libavformat,libavformat/avidec.c,
a7e032a277452366771951e29fd0bf2bd5c029f0,,libavformat,libavformat/rmdec.c,rm_read_multi
7c0b84d89911b2035161f5ef51aafbfcc84aa9e2,,libavformat,libavformat/asfenc.c,asf_write_packet
c898431ca5ef2a997fe9388b650f658fb60783e5,n,libavformat,libavformat/nsvdec.c,nsv_read_header
124eb202e70678539544f6268efc98131f19fa49,,libavformat,libavformat/rmdec.c,ivr_read_header
7e80b63ecd259d69d383623e75b318bf2bd491f6,,libavformat,libavformat/cinedec.c,cine_read_header
c2a2ad133eb9d42361804a568dee336992349a5e,,libavformat,libavformat/rtpdec_asf.c,asfrtp_parse_packet
c24bcb553650b91e9eff15ef6e54ca73de2453b7,,libavformat,libavformat/nsvdec.c,nsv_parse_NSVf_header
689e59b7ffed34eba6159dcc78e87133862e3746,,libavformat,libavformat/mov.c,mov_read_dref
4f05e2e2dc1a89f38cd9f0960a6561083d714f1e,,libavformat,libavformat/mvdec.c,mv_read_header
9d00fb9d70ee8c0cc7002b89318c5be00f1bbdad,,libavformat,libavformat/mxfdec.c,mxf_read_primer_pack
ffcc82219cef0928bed2d558b19ef6ea35634130,,libavformat,libavformat/rtmppkt.c,ff_amf_tag_size
fa19fbcf712a6a6cc5a5cfdc3254a97b9bce6582,,libavformat,libavformat/movenc.c,mov_write_audio_tag
2b46ebdbff1d8dec7a3d8ea280a612b91a582869,,libavformat,libavformat/asfdec_o.c,parse_video_info
3ebd76a9c57558e284e94da367dd23b435e6a6d0,,libavformat,libavformat/mov.c,mov_read_default
bab0716c7f4793ec42e05a5aa7e80d82a0dd4e75,,libavformat,libavformat/mxfdec.c,mxf_parse_structural_metadata
a5d849b149ca67ced2d271dc84db0bc95a548abb,,libavformat,libavformat/avidec.c,read_gab2_sub
ed22dc22216f74c75ee7901f82649e1ff725ba50,,libavformat,libavformat/movenc.c,handle_eac3
7f9ec5593e04827249e7aeb466da06a98a0d7329,,libavformat,libavformat/asfdec_f.c,asf_read_marker
ae21776207e8a2bbe268e7c9e203f7599dd87ddb,,libavfilter,libavfilter/avfilter.c,avfilter_filter_samples
35eeff30caf34df835206f1c12bcf4b7c2bd6758,,libavfilter,libavfilter/vf_signature.c,export
cdd5df8189ff1537f7abe8defe971f80602cc2d2,,libavfilter,libavfilter/vf_fps.c,filter_frame
3f621455d62e46745453568d915badd5b1e5bcd5,,libavfilter,libavfilter/vf_transpose.c,config_props_output
f1a38264f20382731cf2cc75fdd98f4c9a84a626,,libavcodec,libavcodec/pthread_frame.c,ff_frame_thread_init
c919e1ca2ecfc47d796382973ba0e48b8f6f92a2,,libavcodec,libavcodec/msrle.c,msrle_decode_frame
f58eab151214d2d35ff0973f2b3e51c5eb372da4,,libavcodec,libavcodec/takdec.c,tak_decode_frame
79ceaf827be0b070675d4cd0a55c3386542defd8,,libavcodec,libavcodec/pngdec.c,decode_ihdr_chunk
85a14dbd5dca34320f58b1ba11dd6dd0df4fb3be,n,libavcodec,libavcodec/adpcm.c,adpcm_decode_frame
880c73cd76109697447fbfbaa8e5ee5683309446,,libavcodec,libavcodec/flashsv.c,flashsv_decode_frame
2171dfae8c065878a2e130390eb78cf2947a5b69,,libavcodec,libavcodec/scpr.c,decode_unit
cca9528524c7a4b91451f4322bd50849af5d057e,,libavcodec,libavcodec/mpegaudiodec.c,decode_frame_mp3on4
365270aec5c2b9284230abc702b11168818f14cf,,libavcodec,libavcodec/sanm.c,old_codec37
c727401aa9d62335e89d118a5b4e202edf39d905,,libavcodec,libavcodec/smc.c,
1f99939a6361e2e6d6788494dd7c682b051c6c34,,libavcodec,libavcodec/j2k_dwt.c,ff_j2k_dwt_init
e371f031b942d73e02c090170975561fabd5c264,,libavcodec,libavcodec/pngdec.c,decode_zbuf
b3a43515827f3d22a881c33b87384f01c86786fd,,libavcodec,libavcodec/wmalosslessdec.c,decode_channel_residues
00e8181bd97c834fe60751b0c511d4bb97875f78,,libavcodec,libavcodec/ac3_parser.c,avpriv_ac3_parse_header
d227ed5d598340e719eff7156b1aa0a4469e9a6a,,libavcodec,libavcodec/mpeg4videodec.c,mpeg4_decode_studio_block
9547034f9120187e23ad76424dd4d70247e62212,n,libavcodec,libavcodec/gifdec.c,gif_copy_img_rect
20c121c00747d6c3b0b0f98deeff021171b2ed74,n,libavcodec,libavcodec/ass_split.c,ff_ass_split_override_codes
c20f4fcb74da2d0432c7b54499bb98f48236b904,,libavcodec,libavcodec/ffv1dec.c,read_header
f18c873ab5ee3c78d00fdcc2582b39c133faecb4,n,libavcodec,libavcodec/adpcm.c,adpcm_decode_frame
c5cbda50793e311aa73489d12184ffd6761c9fbf,,libavcodec,libavcodec/cavsdec.c,get_ue_code
fabbfaa095660982cc0bc63242c459561fa37037,,libavcodec,libavcodec/mjpegdec.c,
df91aa034b82b77a3c4e01791f4a2b2ff6c82066,,libavcodec,libavcodec/ivi.c,ff_ivi_init_planes
e1b60aad77c27ed5d4dfc11e5e6a05a38c70489d,,libavcodec,libavcodec/cdxl.c,cdxl_decode_frame
f5955d9f6f9ffdb81864c3de1c7b801782a55725,n,libavcodec,libavcodec/targa.c,advance_line
e1182fac1afba92a4975917823a5f644bee7e6e8,,libavcodec,libavcodec/mpeg4videoenc.c,ff_set_mpeg4_time
8bb11c3ca77b52e05a9ed1496a65f8a76e6e2d8f,,libavcodec,libavcodec/jpeg2000dec.c,get_siz
