commit_hash,affected_libs_or_binary,affected_files,affected_functions,original_func_name_bindiff,func_addr_original,func_addr_patched,func_size_original,func_size_patched
00e8181bd97c834fe60751b0c511d4bb97875f78,libavcodec,libavcodec/ac3_parser.c,avpriv_ac3_parse_header,avpriv_ac3_parse_header,0x509430,0x509430,221,213
0a709e2a10b8288a0cc383547924ecfe285cef89,libavcodec,libavcodec/dnxhd_parser.c,dnxhd_find_frame_end,dnxhd_parse,0x5d2e80,0x5d2e80,818,804
105654e376a736d243aef4a1d121abebce912e6b,libavcodec,libavcodec/utils.c,avcodec_align_dimensions2,avcodec_align_dimensions2,0x902ce0,0x902ce0,668,641
124eb202e70678539544f6268efc98131f19fa49,libavformat,libavformat/rmdec.c,ivr_read_header,ivr_read_header,0x529390,0x529390,1772,1763
1285baaab550e3e761590ef6dfb1d9bd9d1332e4,libavcodec,libavcodec/smacker.c,smacker_decode_header_tree,smacker_decode_header_tree,0x446bd2,0x446bd2,1269,1329
1e42736b95065c69a7481d0cf55247024f54b660,libavcodec,libavcodec/cdxl.c,cdxl_decode_frame,cdxl_decode_frame,0x583290,0x583290,1831,1810
1f99939a6361e2e6d6788494dd7c682b051c6c34,libavcodec,libavcodec/j2k_dwt.c,ff_j2k_dwt_init,ff_j2k_dwt_init,0x69f7b0,0x69f7b0,240,241
2171dfae8c065878a2e130390eb78cf2947a5b69,libavcodec,libavcodec/scpr.c,decode_unit,decode_unit,0x970960,0x970960,880,930
2b46ebdbff1d8dec7a3d8ea280a612b91a582869,libavformat,libavformat/asfdec_o.c,parse_video_info,asf_read_stream_properties,0x44d440,0x44d440,1245,1245
3030fb7e0d41836f8add6399e9a7c7b740b48bfd,libavcodec,libavcodec/vmdvideo.c,vmd_decode,vmdvideo_decode_frame_cold; vmdvideo_decode_frame,0x47e3c6; 0x94a980,0x47e3c6; 0x94a980,"1113, 1605","1139, 1605"
3197c0aa87a3b7190e17d49e6fbc7b554e4b3f0a,libavcodec,libavcodec/rv34.c,ff_rv34_decode_init_thread_copy,ff_rv34_decode_init_thread_copy,0x8ad010,0x8ad010,99,157
31c1c0b46a7021802c3d1d18039fca30dba5a14e,libavcodec,libavcodec/dnxhd_parser.c,dnxhd_find_frame_end,dnxhd_parse,0x5c8df0,0x5c8df0,926,919
